,uid,first_seen,last_seen,stream_count,comment_count
9867918,9867918,2021-02-15,2022-05-11,197,2438
1497653,1497653,2021-02-14,2022-05-11,10,30
2302747,2302747,2021-01-30,2022-05-08,277,1803
262892635,262892635,2021-02-14,2022-05-08,12,54
11735634,11735634,2021-02-14,2022-05-11,14,64
302644,302644,2021-02-17,2022-05-11,39,153
66170800,66170800,2021-02-15,2022-05-11,35,142
88422455,88422455,2021-02-17,2022-05-08,117,274
4994996,4994996,2021-01-30,2022-05-11,12,35
3843791,3843791,2021-02-17,2022-05-11,24,70
12265032,12265032,2021-02-16,2022-05-11,29,35
252633255,252633255,2021-02-14,2022-05-11,18,72
108877565,108877565,2021-01-09,2022-05-11,46,171
921465,921465,2021-02-14,2022-05-11,59,197
10018807,10018807,2021-02-14,2022-05-11,107,290
795236,795236,2021-02-17,2022-05-11,42,173
21318213,21318213,2021-02-17,2022-05-11,183,3232
21603997,21603997,2021-02-17,2022-05-11,151,896
7119219,7119219,2021-02-17,2022-05-11,16,83
175890251,175890251,2021-02-17,2022-05-08,163,342
23278241,23278241,2021-02-14,2022-05-11,88,260
9047621,9047621,2021-02-17,2022-05-08,39,96
23776946,23776946,2021-02-17,2022-05-11,46,198
273715982,273715982,2021-02-14,2022-05-11,111,4291
10880822,10880822,2021-02-04,2022-05-08,116,557
82176583,82176583,2021-02-14,2022-05-08,97,706
241424625,241424625,2021-02-20,2022-05-11,16,115
35484586,35484586,2021-02-15,2022-05-11,168,1104
30816221,30816221,2021-02-20,2022-05-11,64,915
13678639,13678639,2021-02-20,2022-05-11,56,342
7777023,7777023,2021-02-20,2022-05-08,72,171
27318225,27318225,2021-02-20,2022-05-11,19,118
86214102,86214102,2021-02-20,2022-05-11,75,470
38584103,38584103,2021-02-20,2022-05-11,57,98
49895437,49895437,2021-02-20,2022-05-11,40,151
541348,541348,2021-02-20,2022-05-11,90,1047
44637704,44637704,2021-02-20,2022-05-08,34,112
223405,223405,2021-02-20,2022-05-11,29,68
12770254,12770254,2021-02-14,2022-05-08,87,284
4712153,4712153,2021-01-06,2022-05-11,70,163
40018833,40018833,2021-02-14,2022-05-11,33,156
3991841,3991841,2021-02-20,2022-05-11,90,690
7191110,7191110,2021-02-20,2022-05-11,159,1352
2143923,2143923,2021-02-17,2022-05-11,376,8957
87665769,87665769,2021-02-20,2022-05-11,15,20
677987884,677987884,2021-03-06,2022-05-11,156,2033
29153042,29153042,2021-03-06,2022-05-11,12,30
15381268,15381268,2021-03-03,2022-05-11,35,203
24093962,24093962,2021-03-03,2022-05-08,102,614
768483,768483,2021-03-05,2022-05-11,228,5194
12380473,12380473,2021-02-15,2022-05-11,314,2232
35960070,35960070,2021-02-24,2022-05-11,40,493
